Grupo;Situação;Ano Formação;Líder;Instituição;Unidade;Área predominante;UF;Repercussão;Linhas de Pesquisa;Instituições Parceiras;Indicadores de RH;link
Discursos na mídia escrita;Certificado;2004;Ana Rosa Ferreira Dias;Pontifícia Universidade Católica de São Paulo - PUC/SP;Departamento de Português;Lingüística, Letras e Artes, Letras;SP;Realização da XII Jornada do Grupo de Pesquisa DiME / I Jornada Internacional, com o tema ¿O discurso da desinformação: pandemia, política, educação e seus impactos¿, que foi discutido pelos professores ¿ conferencistas internacionais ¿ Nino Angelo Rosanía Maza e Karen Cardenas Almanza, ambos da "Benemérita Universidade Autônoma de Puebla - BUAP", México. Foi também realizada uma mesa redonda que contou com a participação de componentes do Grupo de Pesquisa e de pesquisadores de outras universidades nacionais e internacionais, como UNICAMP, UEA, USP e UNAM. A líder do Grupo de Pesquisa, no ano em questão, foi responsável pela organização do dossiê temático da Revista Verbum, v.9, n.2 (2020), que reuniu artigos sobre o tema ¿Fake News e a Corrosão da Crítica¿. Em 2022, o grupo organizou seminários mensais, que compuseram o evento"Terças com o DiME". Além disso, os componentes do Grupo vêm participando de eventos científicos, apresentando e publicando.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/19126
Educação, Comunicação e Tecnologias (Educomtec);Certificado;2022;Everaldo da Silva;Centro Universitário  Católica de Santa Catarina em Jaraguá do Sul - UNERJ;Católica de Santa Catarina em Jaraguá do Sul;Ciências Humanas, Educação;SC;O grupo Educomtec iniciou suas atividades em 2022 e conta com quatro linhas de pesquisa. A primeira é "Comunicação, Educação e Fake News" e tem como foco o diálogo entre os campos da Educação e da Comunicação, principalmente dentro da perspectiva das fake news e sua disseminação a partir dos meios de comunicação. A segunda linha se chama "Educação a distância: limites, possibilidades e desafios" e tem como foco investigar especificamente sobre a Educação a distância, suas possibilidades, desafios e limites no século XXI. A terceira linha se chama "Desenvolvimento de Sistemas Web, Mobile e Desktop", que tem por objetivo abranger as principais linhas de desenvolvimento de software, de forma a apresentar soluções em perspectivas relacionadas à Educação. A quarta linha é "Tecnologias e mídias na Educação", cujo foco são estudos que investigam o uso de tecnologias, assim como a utilização de mídias e produção de recursos de comunicação em contextos educativos.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/770586
Ética e Bioética;Certificado;2007;Paulo Fraga da Silva;Universidade Presbiteriana Mackenzie - MACKENZIE;Centro de Educação, Filosofia e Teologia;Ciências Humanas, Filosofia;SP;Realização do VIII Encontro e III Simpósio Internacional de Bioética da UPM (2022-MackPesquisa) c/Anais ISBN 9786586731255. Proj.Pesquisa: (and): Código de Ética para a Profissão Docente: percepções e opiniões de educadores. Artigos e resumos: Eticidade e moralidade em sociedades seculares, Reflexão PUCCAMP, 2021 (https://doi.org/10.1590/0102-4698215216). Environmental Bioethics: Responsability for a Sustainable World. UNESCO Chair in Bioethics 14th World Conference on Bioethics, Medical Ethics and Healthy Law, 2022, Porto. Jonas' Ethics of Responsibility, a necessary reflection in times of pandemic. 16th World Congress of Bioethics 2022, Basel, Suíça. Pós-Verdade, Fake News e Comunicação Ambiental: Questões Éticas e Ideológicas. 2º Colóquio do Centro e Núcleos de Pesquisa da UNIESP, 2022, São Paulo. A Ética e seus pressupostos filosóficos de acordo com Platão e Aristóteles. VIII Encontro e III Simpósio Internacional de Bioética da UPM, 2022. Organização de livros e caps de livros.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/3063
Excelsior! Grupo de Pesquisa em Religião e Cultura da Mídia;Certificado;2016;Allan Macedo de Novaes;Centro Universitário Adventista de São Paulo - UNASP;;Ciências Sociais Aplicadas, Comunicação;SP;O grupo de pesquisa Excelsior!, por meio de seus mebros, tem participado com apresentações de trabalho e publicações em anais de diversos eventos científicos nacionais e internacionais na área de Comunicação, Teologia e Ciências da Religião, a saber, Congresso Intercom, Congresso Soter, Congresso ANPTCRE, Congresso da International Association for Media and Communication Research e Jornadas Internacionais de Histórias em Quadrinhos. O grupo já publicou dois livros pela Unaspress, editora universitária do Unasp, e seus membros já publicaram cerca de uma dúzia de livros de única autoria, livros coletânea, capítulos de livros e artigos qualificados em journals. o Excelsior! também se dedica à produções técnicas, tendo elaborado histórias em quadrinhos educativas, cartilhas para a comunidade e materiais instrucionais e didáticos. Além disso, o Excelsior! faz parte da Associação de Pesquisadores em Arte Sequencial.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/213500
Gestão Estratégica de Conhecimento e Inovação - GECIN USP;Certificado;1994;Sérgio Takahashi;Universidade de São Paulo - USP;Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto;Ciências Sociais Aplicadas, Administração;SP;18 publicações em periódicos internacionais e nacionais indexados. 2 livros publicados. 66 artigos publicados em anais de congressos internacionais e nacionais. Projetos de Pesquisa Fapesp e CNpq.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/777575
Grupo de Estudos em Análise de Discurso;Certificado;2020;Rosely Diniz da Silva Machado;Universidade Federal do Rio Grande - FURG;Instituto de Letras e Artes;Lingüística, Letras e Artes, Lingüística;RS;As reuniões periódicas do Grupo têm fomentado discussões que surtem efeito na escrita referente à dissertações em andamento, bem como na produção e publicação de artigos científicos. Desde a criação do grupo, já houve 4 componentes que defenderam, com êxito, sua Dissertação de Mestrado, a saber: 1-Camila Bento de Oliveira. Xenofobia e aporofobia: o pulsar dos sentidos nos discursos de brasileiros e venezuelanos acerca do processo migratório venezuelano no Brasil. 2022. 2.Livia Ayter Santos. Discursos sobre Ensino de Línguas e Cidadania na Educação Profissional: Um Gesto de Leitura. 2021. 3- Ariadne Siqueira. O Funcionamento Discursivo do Termo Fake News na Campanha Política dos Candidatos Ivo Sartori e Eduardo Leite ao Governo do Estado do Rio Grande do Sul. 2021. 4- Letícia Rosaura da Silva Maass. Do silêncio à denúncia: um gesto de leitura dos discursos sobre feminicídio. 2020. Atualmente, há duas integrantes do grupo que são doutorandas do PPGLetras da FURG: Ariadne e Livia.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/593386
Grupo de Estudos em Ciências Forenses;Certificado - Não-atualizado há mais de 12 meses;2020;Tiago Alves Jorge de Souza ;Centro Universitário Adventista de São Paulo - UNASP;;Outra, Divulgação Científica;SP;O Grupo de Estudos em Ciências Forenses - UNASP/EC visa realizar estudos científicos nos campos da Psicologia, Engenharia e Química Forenses bem como atuar na divulgação científica no campo da Criminalística.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/678633
Grupo de Estudos em Comunicação e Saúde para o SUS;Certificado;2018;Maria Thereza Bonilha Dubugras;Instituto de Saúde - ISaúde;;Ciências da Saúde, Saúde Coletiva;SP;Criado em 2018, o Grupo de Estudos em Comunicação e Educação em Saúde para o SUS possui três linhas de pesquisa: (1) Percepções e práticas da sociedade frente a riscos para a saúde, (2) Infodemia, desinformação, fake news e negacionismo: os novos regimes discursivos e a produção de sentidos no cotidiano da saúde pública e (3) Comunicação e Educação em saúde na era digital. Até o momento, o grupo foi responsável pela publicação de 7 artigos científicos e sete capítulos de livros. Os integrantes do grupo realizam atividades de formação (docência em disciplinas de graduação, especialização, pós-graduação e em cursos desenvolvidos especialmente para profissionais do Sistema Único de Saúde do estado de São Paulo) e de extensão (consultorias na área de educação e de comunicação para os serviços de saúde do estado de São Paulo).;;;;http://dgp.cnpq.br/dgp/espelhogrupo/772810
Grupo de estudos em química medicinal, educação e divulgação científica (GEQMED);Certificado - Não-atualizado há mais de 12 meses;2020;Paula Alvarez Abreu ;Universidade Federal do Rio de Janeiro - UFRJ;Instituto de Biodiversidade e Sustentabilidade - NUPEM;Ciências da Saúde, Farmácia;RJ;O grupo realiza estudos para o desenvolvimento de novos fármacos tendo colaboração com diversos grupos da UFRJ-Fundão, UFF-Niterói, UFF-Friburgo e PUC. Espera-se com as pesquisas obter novos candidatos a antimicrobianos usando estratégias de triagem virtual associada aos ensaios in vitro. Na parte de ensino destaca-se a produção de materiais didáticos, oficinas de simulações e jogos associando a pesquisa com o ensino e a extensão e espera-se contribuir com novas estratégias para o ensino superior e a educação básica, bem como com educação permanente de professores e a educação inclusiva. E no campo da divulgação científica o grupo estuda o uso das mídias sociais e a divulgação científica em saúde, e espera contribuir para o entendimento e combate ao fenômeno das fake news (principalmente em temas como vacinação, uso de medicamentos e doenças) e contribuir com a valorização da ciência.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/663408
Grupo de Estudos Multidisciplinares em Linguagens, Comunicação e Cultura (GINC);Certificado;2021;Nelson Soares Pereira Junior;Universidade Federal do Oeste da Bahia - UFOB;Reitoria;Ciências Sociais Aplicadas, Comunicação;BA;O GINC é um grupo formado por jovens pesquisadores da área de comunicação com duas linhas de pesquisa: Comunicação, Saúde e Políticas Públicas e Publicidade, Discurso e Diversidade. Os pesquisadores que integram o GINC desenvolvem pesquisas que impactam a sociedade, uma vez que se dedicam a fenômenos complexos contemporâneos da área da comunicação promovendo reflexões que se consolidam em projetos de pesquisa, publicações em periódicos científicos e participação de eventos nacionais e internacionais, socializando os "achados" de pesquisa e as perguntas orientadoras das atividades de investigação.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/728533
Grupo de Pesquisa em Nutrição;Certificado;2018;Simone dos Anjos Caivano;Universidade Metropolitana de Santos - UNIMES;;Ciências da Saúde, Nutrição;SP;Este grupo de pesquisa está subdividido em algumas linhas de pesquisa as quais envolvem os docentes da Universidade do curso de Nutrição. Todos os estudantes que realizam suas iniciações científicas e/ou trabalhos de conclusão de curso geram resultados para este grupo de pesquisa. Alguns dos trabalhos são encaminhados para publicações. Abaixo alguns que foram publicados em 2021 e 2022: . Programa de educação alimentar e nutricional ¿ Um estudo de caso . Avaliação das condições higiênico-sanitárias em açougues da cidade de Santos . Avaliação de qualidade de cardápios da alimentação escolar no Ensino público . Insatisfação corporal e atitudes alimentares em mulheres no climatério . Avaliação das práticas de manipulação de alimentos e de higiene em restaurantes comerciais da cidade de Santos (ganhou prêmio de 1º lugar);;;;http://dgp.cnpq.br/dgp/espelhogrupo/744096
Grupo de pesquisa em práticas discursivas (GPRAD);Certificado;2021;Joao Paulo Eufrazio de Lima;Universidade Estadual Vale do Acaraú - UVA-CE;;Lingüística, Letras e Artes, Lingüística;CE;;;;;http://dgp.cnpq.br/dgp/espelhogrupo/765959
Grupo de pesquisa Equidade na Educação Matemática, Estatística e Científica (GEMEC);Certificado;2022;Leandro de Oliveira Souza;Universidade Federal de Uberlândia - UFU;Conselho de Pesquisa e Pós-Graduação;Ciências Humanas, Educação;MG;;;;;http://dgp.cnpq.br/dgp/espelhogrupo/782342
Grupo de Pesquisa Espaço e Saber;Certificado;2022;Ernandes de Oliveira Pereira;Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo - IFES;Instituto Federal do Espírito Santo - Campus Venda Nova do Imigrante;Ciências Exatas e da Terra, Geociências;ES;Esse grupo se dedica a estudar processos de agenciamentos das imagens que territorializam, desterritorializam e reterritorializam pensamentos sobre o espaço e o lugar, através das linguagens que afetam a cartografia, educação e divulgação científica no contexto atual atravessado pelo fenômeno das fake news e no que tange a linguagem cartográfica, realiza análises dos discursos dos mapas temáticos físicos e humanos e suas reverberações sobre a educação e a divulgação científica. Essas imagens agenciam as subjetividades dos indivíduos. Determinam até mesmo os enquadramentos, o que deve ser incluído ou excluído no campo da educação e divulgação científica. Educam o olhar no sentido de serem aceitas incondicionalmente. Delimitam a maneira de mapear os espaços e lugares como processos de decalques, como apresentam os filósofos Gilles Deleuze e Félix Guattarri.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/772066
Grupo de Pesquisa Estado, Instituições e Análise Econômica do Direito - GPEIA;Certificado;2012;Gabriel Rached;Universidade Federal Fluminense - UFF;Departamento de Direito Privado;Ciências Sociais Aplicadas, Direito;RJ;O GRUPO ORGANIZOU OS SEGUINTES EVENTOS: 1) I Fórum sobre Estado Empresário e Regulação: Responsabilidades e custos das atuações estatais. Data: 08 e 09 de Outubro de 2013 - UFF. 2) II Fórum sobre Estado Empresário e Regulação: Sustentabilidade, Ética e Responsabilidade das Atuações Estatais. Data: 13 e 14 de Novembro de 2014 - UFF. 3) III Fórum sobre Estado Empresário e Regulação: Desafios Contemporâneos. Data: 03 e 04 de Dezembro de 2015 - UFF. 4) IV Fórum sobre Estado Empresário e Regulação: O Estado e o mercado em tempos de Crise. Data: 29 e 30 de Setembro de 2016 - UFF. 5) V Fórum sobre Estado Empresário e Regulação: Novas Tendências. Data: 21 e 22 de Setembro de 2017 - UFF. 6) VI Fórum Estado Empresário e Regulação: Perspectivas Latino-Americanas. Data: 27 e 28 de Setembro de 2018 - UFF. 7) I Seminário Internacional sobre Estado e Instituições: Diálogos Institucionais e Políticas de Enfrentamento da Crise¿ Data: 22 a 24 de Setembro de 2020. P informações: http://gpeia.sites.uff.br;;;;http://dgp.cnpq.br/dgp/espelhogrupo/40749
Grupo de Pesquisa Interdisciplinar sobre Saúde, Educação e Educação Física - GIPEEF;Certificado;2019;Ramon Missias-Moreira;Universidade Federal do Vale do São Francisco - UNIVASF;;Ciências da Saúde, Saúde Coletiva;PE;O GIPEEF visa desenvolver pesquisa/extensão para a produção e divulgação dos aspectos psicossociais e elementos socioculturais à educação, à saúde e à Educação Física. Com o objetivo principal de fortalecer o conhecimento científico, o grupo está desenvolvendo trabalhos nos eixos temáticos: representações sociais, educação física, condições de saúde, qualidade de vida, processo de trabalho, políticas públicas, e educação, Prioriza estudos com diversas populações, Integra e contempla ações de pesquisa e orientação de TCC de graduação, IC, especialização, mestrado e doutorado. Possibilita assim avanço nas discussões bem como a produção e disseminação do conhecimento novo, por meio da publicação de livros, capítulos e artigos, da organização e participação em cursos, em eventos científicos, proporcionando o intercâmbio entre profissionais de diversas instituições. O fortalecimento deste grupo dar-se-á através de ações integradas entre seus(as) pesquisadores(as), estudantes e parceiros(as);;;;http://dgp.cnpq.br/dgp/espelhogrupo/598329
Grupo de Pesquisas em Tecnologias e Computação Aplicada à Informação e Comunicação;Certificado;2018;Douglas Farias Cordeiro;Universidade Federal de Goiás - UFG;;Ciências Sociais Aplicadas, Comunicação;GO;;;;;http://dgp.cnpq.br/dgp/espelhogrupo/612646
Grupo Internacional e Interdisciplinar de Estudos e Pesquisas em formação de profissionais de Saúde (GIEPS);Certificado;2016;Eunice Almeida da Silva;Universidade de São Paulo - USP;;Ciências da Saúde, Enfermagem;SP;Realizado o I Encontro Internacional sobre Avaliação e Monitoramento em Educação Permanente em Saúde, 22/05/2023, na Faculdade de Saúde Pública da USP. REALIZAÇÃO DO I SEMINÁRIO DE ATIVIDADES EDUCATIVAS PARA PROFISSIONAIS DOS SISTEMAS PÚBLICOS DE SAÚDE. APOIO: USP E SMS-SP, 2022 -APOIO DA FUNDACIÓN CAROLINA PARA IMPLANTAR O OBSERVATÓRIO DE PROFISSIONAIS DOS SISTEMAS PÚBLICOS DE SAÚDE, 2020-2021 -ACORDO DE COOPERAÇÃO ENTRE A USP E A SECRETARIA MUNICIPAL DE SAÚDE DE SÃO PAULO PARA IMPLANTAÇÃO DO OBSERVATÓRIO DE ATIVIDADES EDUCATIVAS PARA PROFISSIONAIS DOS SISTEMAS PÚBLICOS DE SAÚDE-2020 -APROVAÇÃO NA PRIMEIRA ETAPA DO EDITAL LAB-ENF-OPAS/COFEN Do PROJETO OBSERVATÓRIO DE ATIVIDADES EDUCATIVAS PARA PROFISSIONAIS DOS SISTEMAS PÚBLICOS DE SAÚDE-2019 -DEBATE SOBRE EDUCAÇÃO PERMANENTE COM GESTORES/AS DA COORDENADORIA REGIONAL LESTE-SP. - 2019.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/593006
HIPERJOR;Certificado;2017;Jaqueline Barreto Lé;Universidade Federal do Recôncavo da Bahia - UFRB;Centro de Formação de Professores;Lingüística, Letras e Artes, Lingüística;BA;O Grupo HIPERJOR desenvolve pesquisas ligadas às seguintes temáticas: hipertexto, hipermídia, ciberjornalismo, gêneros discursivos, texto e textualidade, mecanismos de textualização, gêneros jornalísticos e ensino de língua materna. Apresenta discussões interdisciplinares que envolvem as áreas de Letras, Linguagem e Tecnologias, Comunicação Social e Jornalismo digital. Duas linhas de pesquisa são, aqui, de especial interesse: a) Ciberjornalismo e estratégias de textualização, b) Gêneros jornalísticos, tipos textuais e ensino. Eventos: Em junho 2019, o Grupo promoveu, no Centro de Formação de Professores da UFRB, "I Simpósio Letras Digitais", que teve como tema geral "Comunicação e letramento digital". Em novembro de 2021, promoveu mais uma versão do evento, o "II Simpósio Letras Digitais, realizada virtualmente no Canal HIPERJOR/UFRB (Youtube), abarcando o tema geral "A pesquisa no contexto pandêmico".;;;;http://dgp.cnpq.br/dgp/espelhogrupo/580346
INTELIGÊNCIA ARTIFICIAL & CIÊNCIA DE DADOS;Certificado;2023;Ana Cristina Bicharra Garcia;Universidade Federal do Estado do Rio de Janeiro - UNIRIO;;Ciências Exatas e da Terra, Ciência da Computação;RJ;O grupo de pesquisa trabalha com temas que envolvem as áreas de Inteligência Artificial e Ciência de Dados. Há dois focos complementares: a resolução de problemas complexos que usem grandes massas de dados grandes e (2) a interpretabilidade e explicabilidade dos modelos inteligentes. A lei geral de proteção aos dados pessoais exige que os sistemas consigam explicar seus resultados. É ainda um grande desafio deixar transparente os modelos inteligentes. É nesse nicho que nosso grupo pretende se diferenciar e contribuir. Além disso, pesquisa sobre métodos, técnicas e ferramentas para ensino e aprendizagem desses conceitos serão investigados.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/796659
Inteligência Artificial Aplicada ao Direito;Certificado;2019;Claudia Maria Toledo da Silveira;Universidade Federal de Juiz de Fora - UFJF;Faculdade de Direito;Ciências Sociais Aplicadas, Direito;MG;Este Grupo visa ao estudo da Inteligência Artificial (IA), à identificação de seus benefícios e vantagens, mas em uma análise crítica de verificação de sua conformidade às determinações do direito nacional e às diretrizes jurídicas da atualidade. No direito nacional, a IA deve se adequar à Constituição, marcadamente aos direitos fundamentais, e, em âmbito internacional, aos direitos humanos. A expansão da tecnologia e ampliação da aplicação da IA a diversas áreas da vida humana são processos irreversíveis, assim como o ganho em celeridade por elas gerado. Entretanto, mostra-se essencial não apenas o estudo de formas de desenvolvimento da IA no sentido de sua maior acurácia e velocidade, mas também se evidencia imprescindível a investigação sobre como manter o controle sobre a IA segundo os interesses, necessidades e valores humanos nucleares, dispostos nos textos constitucionais e na Declaração Universal dos Direitos Humanos.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/486137
Inteligência Artificial e Sociedade;Certificado;2020;Glauco Antonio Truzzi Arbix;Universidade de São Paulo - USP;Faculdade de Filosofia Letras e Ciências Humanas;Ciências Sociais Aplicadas, Ciência da Informação;SP;O Grupo de Pesquisa "Inteligência Artificial e Sociedade" tem sua base no Centro for Artificial Intelligence (C4AI) da Universidade de São Paulo. O Grupo está voltado para a pesquisa na área de humanidades, com estudos orientados para as políticas públicas em países emergentes. Temas como as Transformações do Trabalho, Emprego, Novas Tecnologias e Competências, Regulação, Ética, Privacidade, Ética Corporativa, Impactos sociais de técnicas Biométricas, Informação e Desinformação, Democracia, Cidades Inteligentes e Relações Homem-Robô.Dada sua característica multidisciplinar e multiinstitucional, Grupo abriga pesquisadores da Sociologia, Ciência Política, Economia, Psicologia, Computação, Medicina, Direito, Comunicação, Robótica. Os trabalhos de pesquisa estão voltados para consolidar a Inteligência Artificial no Brasil e ampliar os laços com centros internacionais relevantes. Como parte do C4AI, o Grupo buscará de modo permanente a sinergia com todas as áreas avançadas da IA.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/617129
JORPCOM - Jornalismo e Relações Públicas no Contexto Contemporâneo;Certificado;2020;Márcia Maria Carvalhal Britto Pimentel;Universidade Católica do Salvador - UCSAL;Pro Reitoria de Pesquisa e Pós Graduação;Ciências Sociais Aplicadas, Comunicação;BA;O grupo envolve três professores doutores, que lideram as três linhas com grande repercussão.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/599786
