Grupo;Situação;Ano Formação;Líder;Instituição;Unidade;Área predominante;UF;Repercussão;Linhas de Pesquisa;Instituições Parceiras;Indicadores de RH;link
Direito, Tecnologia e Inovação - DTI UFMG;Certificado;2018;Leonardo Netto Parentoni;Universidade Federal de Minas Gerais - UFMG;Departamento de Direito do Processo Civil e Comercial;Ciências Sociais Aplicadas, Direito;MG;A premissa do Grupo é que o direito deve atuar em todas as fases do desenvolvimento e utilização de novas tecnologias, funcionando como indutor (e não como empecilho) à inovação. Partindo dessa premissa, o Grupo DTI UFMG se propõe a realizar atividades científicas multidisciplinares e aprofundadas, tendo por objeto a interface entre direito e tecnologia, contando com participantes de diversas áreas, tais como Direito, Administração, Economia, Ciência da Computação e Neurociência. The premise of the Group is that law should play a major role in all phases of development and utilization of new technologies, working as a booster (instead of a hindrance) to innovation. Following that premise, DTI UFMG is a research group that develops multidisciplinary and consistent research activities about the interface between Law and Technology. Its members come from different scientific fields, such as Law, Business, Computer Science, and Neuroscience.;{"Nome":Direito, Tecnologia e Inovação,"Q_Estudantes":8,"Q_Pesquisadores":3}|{"Nome":Poder, Cidadania e Desenvolvimento no Estado Democrático de Direito,"Q_Estudantes":11,"Q_Pesquisadores":5};;{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":3,"Técnicos":1,"Estrangeiros":0,"Total":9}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":3,"Técnicos":1,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":1,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4};http://dgp.cnpq.br/dgp/espelhogrupo/344035
DiSys - Grupo de Pesquisa em Sistemas Distribuídos;Certificado;2014;Robson Wagner Albuquerque de Medeiros;Universidade Federal Rural de Pernambuco - UFRPE;;Ciências Exatas e da Terra, Ciência da Computação;PE;;{"Nome":Análise de Desempenho,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Arquitetura de Software e de Microserviços,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Blockchain,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Computacao em Nuvem (Cloud Computing),"Q_Estudantes":10,"Q_Pesquisadores":4}|{"Nome":Computação Móvel,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Computação Orientada a Serviço,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Dependabilidade,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Engenharia de Software,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Gerenciamento de Custos de Sistemas Distribuídos,"Q_Estudantes":7,"Q_Pesquisadores":2}|{"Nome":Internet das Coisas,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Segurança de Sistemas Distribuídos,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Sistemas Distribuídos,"Q_Estudantes":9,"Q_Pesquisadores":4};;{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4};http://dgp.cnpq.br/dgp/espelhogrupo/47273
DiSys - Grupo de Pesquisa em Sistemas Distribuídos;Certificado;2014;Robson Wagner Albuquerque de Medeiros;Universidade Federal Rural de Pernambuco - UFRPE;;Ciências Exatas e da Terra, Ciência da Computação;PE;;{"Nome":Análise de Desempenho,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Arquitetura de Software e de Microserviços,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Blockchain,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Computacao em Nuvem (Cloud Computing),"Q_Estudantes":10,"Q_Pesquisadores":4}|{"Nome":Computação Móvel,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Computação Orientada a Serviço,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Dependabilidade,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Engenharia de Software,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Gerenciamento de Custos de Sistemas Distribuídos,"Q_Estudantes":7,"Q_Pesquisadores":2}|{"Nome":Internet das Coisas,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Segurança de Sistemas Distribuídos,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Sistemas Distribuídos,"Q_Estudantes":9,"Q_Pesquisadores":4};;{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4};http://dgp.cnpq.br/dgp/espelhogrupo/2453345214022441
Estudo Multidisciplinar de Gestão;Certificado;2018;Adriana Duarte de Souza Carvalho da Silva;Claretiano - Faculdade - Claretianorc;;Ciências Sociais Aplicadas, Administração;RJ;O Núcleo de Estudo Multidisciplinar de Gestão visa o estímulo à pesquisa junto aos alunos dos cursos de Graduação em Administração, Ciências Contábeis e Tecnólogos em Gestão Financeira, Recursos Humanos, Logística e Comércio Exterior, permitindo entenderem a necessidade e importância da aplicação de conceitos múltiplos no Processo de gestão e tomada de decisão. O conhecimento que será trabalhado em sinergia entre docentes e discentes dos diversos períodos de formação, na perspectiva de se gerar estudos e trabalhos que contemplem essa interatividade.;{"Nome":Acessibilidade nas organizações,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Comportamento humano nas organizações,"Q_Estudantes":0,"Q_Pesquisadores":6}|{"Nome":Fintechs, criptomoedas e blockchain,"Q_Estudantes":0,"Q_Pesquisadores":5}|{"Nome":Inovação em responsabilidade social e ambiental corporativa,"Q_Estudantes":0,"Q_Pesquisadores":6}|{"Nome":Responsabilidade Social e Governança Corporativa,"Q_Estudantes":0,"Q_Pesquisadores":4}|{"Nome":Start ups, negócios internacionais e comércio exterior,"Q_Estudantes":2,"Q_Pesquisadores":3}|{"Nome":Tecnologias disruptivas em gestão de negócios,"Q_Estudantes":0,"Q_Pesquisadores":3};;{"Formação acadêmica":Doutorado,"Pesquisadores":7,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":7}|{"Formação acadêmica":Mestrado,"Pesquisadores":4,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Especialização,"Pesquisadores":4,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/468597
Estudos em Competitividade e Estratégia Internacional;Certificado;2010;Belmiro do Nascimento João;Pontifícia Universidade Católica de São Paulo - PUC/SP;Programa de Pós-Graduação em Administração;Ciências Sociais Aplicadas, Administração;SP;O Grupo de Pesquisa, tem apresentado resultados relevantes na área de Negócios Internacionais e Competitividade. Participação em eventos como o AIB (Milão-2008, Rio-2010), EIBA-2015, AIB-LAT-2016 e publicações de alto impacto incluindo RAP, RAE e Cadernos EBAPE, no Brasil. Bem como Eventos como EnAnpad, 3Es, ALTEC, AIB, EIBA. Tem um quadro jovem de pesquisadores já com produção qualificada a partir de suas dissertações/teses e/ou projetos de pesquisa. Adicionalmente e, com a ascensão da era digital, nos impele a repensar a estratégia corporativa, desafiar as unidades de análise tradicionais e pressupostos tomados como certos e explorar novos fenômenos. A digitalização está afetando a concorrência, fomentando a indefinição das fronteiras do mercado, o surgimento de novas indústrias e o surgimento de ecossistemas. Machine Learning, Blockchain, IoT, Smart Cities, IA assim como Mudança Climática e seus efeitos são temas de pesquisas em andamento.;{"Nome":Análise de Conteúdo Quantitativo com text mining,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Competitividade e Mercados Emergentes,"Q_Estudantes":0,"Q_Pesquisadores":6}|{"Nome":Estratégias de Internacionalização de Empresas Brasileiras,"Q_Estudantes":0,"Q_Pesquisadores":4}|{"Nome":Internacionalização da Indústria Criativa Brasileira,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Modelos Conceituais para Parques Científicos e Tecnológicos e Habitats de Inovação,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Mudança Climática: Perspectivas para os Negócios,"Q_Estudantes":0,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":11,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":11};http://dgp.cnpq.br/dgp/espelhogrupo/34465
Finanças Digitais;Certificado;2023;José Carlos Silva Cavalcanti;Universidade Federal de Pernambuco - UFPE;Centro de Ciências Sociais Aplicadas;Ciências Sociais Aplicadas, Economia;PE;Há pelo menos cinco anos os pesquisadores deste grupo têm estado envolvidos com orientações e publicações de trabalhos acadêmicos e profissionais envolvendo novas tecnologias e modelos de negócios relacionados com Digital Ledger Technologies - DLTs (tais como Blockchain, tecnologias essas que estão na base das novas criptomoedas, como Bitcoin e Ethereum). Percebendo que esta nova infraestrutura digital tem possibilitado o surgimento de uma nova economia (a Economia Tokenizada), com enorme impacto em vários segmentos econômicos, e, marcadamente, nas Finanças, o grupo resolveu alavancar suas atividades (em termos de orientações, estudos e pesquisas) nesta nova área de conhecimentos que estamos chamando de "Finanças Digitais". Logo, percebemos a necessidade de ampliar o horizonte de conhecimentos nesta nova área, a qual tem interfaces positivas entre a Economia, a Administração, a Contabilidade, o Design, a Ciência da Computação e os Sistemas de Informação.;{"Nome":Arquiteturas Corporativas e de TI - Tecnologias de Informação em sistemas centralizados e descentralizados,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":Escalagem/crescimento de negócios e empresas baseados em TI em sistemas centralizados e descentralizados,"Q_Estudantes":0,"Q_Pesquisadores":4}|{"Nome":Estruturas de Governança Corporativa e de TI em sistemas centralizados e descentralizados,"Q_Estudantes":0,"Q_Pesquisadores":4}|{"Nome":Governança de Blockchain,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Interoperabilidade em Redes Blockchain e CBDCs,"Q_Estudantes":0,"Q_Pesquisadores":1};{"Nome":Centro de Ciências Sociais Aplicadas,"Sigla":UFPE,"UF":PE}|{"Nome":Centro de Informática,"Sigla":CIN,"UF":PE}|{"Nome":Centro de Estudos e Sistemas Avançados do Recife,"Sigla":CESAR,"UF":PE};{"Formação acadêmica":Doutorado,"Pesquisadores":6,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Mestrado,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Especialização,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":1,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/787587
GERCOM: Grupo de Pesquisa em Redes de Computadores e Comunicação Multimídia;Certificado;2003;Antonio Jorge Gomes Abelém;Universidade Federal do Pará - UFPA;Departamento de Informática;Ciências Exatas e da Terra, Ciência da Computação;AL;A Universidade Federal do Pará (UFPA) é a maior instituição pública de ensino, pesquisa e extensão na Amazônia e uma das maiores da América Latina. Por sua vez, a Faculdade de Computação da UFPA é pioneira na região Norte na formação e aperfeiçoamento de profissionais que atuam na área. A Faculdade de Computação em 2005 iniciou o Programa de Pós-Graduação em Ciência da Computação (PPGCC), que hoje possui mestrado e doutorado. O Grupo de Redes de Computadores e Comunicação Multimídia (GERCOM) da Faculdade de Computação-UFPA, criado em 2003, tem a missão de promover o desenvolvimento de pesquisa aplicada e da Inovação em Redes de Computadores e Comunicação Multimídia , buscando melhorar a qualidade de vida do ser humano em geral, e em particular da região Amazônica, mediante processos integrados de ensino, pesquisa e extensão.;{"Nome":Blockchain e Tecnologia de registro distribuídos (DLT),"Q_Estudantes":3,"Q_Pesquisadores":2}|{"Nome":Internet das Coisas e Soluções Inteligentes,"Q_Estudantes":3,"Q_Pesquisadores":6}|{"Nome":Novas Tecnologias para Internet do Futuro,"Q_Estudantes":2,"Q_Pesquisadores":7}|{"Nome":Redes Quânticas e Internet Quântica,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Redes Sem Fio de Próxima Geração,"Q_Estudantes":0,"Q_Pesquisadores":6};{"Nome":Serviço Federal de Processamento de Dados,"Sigla":SERPRO,"UF":DF}|{"Nome":Rede Nacional de Ensino e Pesquisa,"Sigla":RNP,"UF":RJ}|{"Nome":Connecta Networking - Solucões Corporativas,"Sigla":CONNECTA NET,"UF":PA}|{"Nome":Amazonia Blockchain Servicos de Tecnologia da Informacao LTDA,"Sigla":Amachains,"UF":PA};{"Formação acadêmica":Doutorado,"Pesquisadores":10,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":14}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/22907
GPSDN - Grupo de Pesquisas em Sistemas Distribuídos e Nuvens;Certificado;2012;Ioram Schechtman Sette;Centro de Estudos e Sistemas Avançados do Recife - CESAR;;Ciências Exatas e da Terra, Ciência da Computação;PE;O Grupo de Pesquisa em Sistemas Distribuídos e Nuvens do CESAR teve início em 2012 através de pesquisas nas áreas de Computação em Nuvem e Ambientes Multi-Cloud Heterogêneos. Tais pesquisas ocorreram em parceria com o Centro de Informática da Universidade Federal de Pernambuco (Cin/UFPE) e posteriormente com a Universidade de Kent em Canterbury (UKC), Reino Unido.;{"Nome":Administração de Sistemas Distribuídos em Nuvens,"Q_Estudantes":3,"Q_Pesquisadores":2}|{"Nome":Computação Autônoma,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Computação Distribuída e Ubíqua,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Segurança de Sistemas Distribuídos e Nuvens,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Sistemas Distribuídos Descentralizados,"Q_Estudantes":1,"Q_Pesquisadores":2};{"Nome":Centro de Informática,"Sigla":CIN,"UF":PE};{"Formação acadêmica":Doutorado,"Pesquisadores":2,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/787567
Grupo de Estudo em Processos Produtivos: Gestão, Projeto, Tecnologia e Trabalho;Certificado - Não-atualizado há mais de 12 meses;2020;Carlos Eduardo Soares Camparotti ;Universidade Federal da Grande Dourados - UFGD;;Engenharias, Engenharia de Produção;MS;;{"Nome":gestão agroindustrial e modelagem de equações estruturais,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Lean, Seis Sigma e Lean Seis Sigma,"Q_Estudantes":6,"Q_Pesquisadores":1}|{"Nome":Supply Chain 4.0,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Trabalho, Tecnologia e Organização,"Q_Estudantes":0,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":6,"Técnicos":0,"Estrangeiros":0,"Total":6};http://dgp.cnpq.br/dgp/espelhogrupo/564505
Grupo de Pesquisa Aplicada Multidisciplinar e Desenvolvimento Tecnológico para Produção de Petróleo e Gás em Bacias Maduras e Áreas Marginais;Certificado - Não-atualizado há mais de 12 meses;2008;Davis Fernandes Ferreira ;Universidade Federal do Rio de Janeiro - UFRJ;;Ciências Exatas e da Terra, Geociências;RJ;Grupo de Pesquisa Aplicada Multidisciplinar para o desenvolvimento de tecnologias e Inovação nas grandes áreas de Geociências, Engenharias, Química, Biologia e Microbiologia, além de elaboração de estudos aplicados nas áreas Econômicas, Ambientais e Regulatórias do Segmento Upstream de Petróleo. Fornecer suporte ao Segmento, prospectar informações, acompanhar discussões, participar e abrigar eventos e reuniões relevantes. Buscar por meio de pesquisa e divulgação de resultados a consolidação de um mercado pulverizado, atrativo, competitivo, justo, sustentável e transparente. Fomentar a criação de startups para adensar a cadeia produtiva de óleo e gás, e spinoffs em áreas distintas criando um novo mercado para jovens talentos e gerando Propriedade Intelectual. O grupo já possui spinoffs nas áreas médica, cosmética, edutech e e-government Governo Digital).;{"Nome":Economia e Gestão de projetos de Produção de Petróleo e Gás Natural,"Q_Estudantes":0,"Q_Pesquisadores":10}|{"Nome":Economia criativa,Inovação e Empreendedorismo,"Q_Estudantes":0,"Q_Pesquisadores":10}|{"Nome":Algoritmos e Linguagens de Programação,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Avaliação e Classificação de Recursos e Reservas, Modelagem Decisória, de Performance e de Risco, Engenharia de Confiabilidade,"Q_Estudantes":0,"Q_Pesquisadores":4}|{"Nome":Biotechnologia e Ativos Biotecnológicos,"Q_Estudantes":0,"Q_Pesquisadores":6}|{"Nome":Cloud Computing, Automação, Big Data, IoT, Análise Avançada, Blockchain,"Q_Estudantes":2,"Q_Pesquisadores":6}|{"Nome":Confiabilidade de Sistemas de Medição Fiscal, Apropriação e Transferência de Custódia,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Desenvolvimento de Ferramentas de Poço para Completação Inteligente,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Desenvolvimento de Soluções Tecnológicas - Inovação (Engenharia, Biotecnologia, Geotecnologia, TI, IoT, Big Data, Mecatrônica, Química e Física),"Q_Estudantes":2,"Q_Pesquisadores":12}|{"Nome":Desenvolvimento de Tecnologias Downhole e Wireline - Perfilagem,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Garantia de Escoamento - Flow Assurance,"Q_Estudantes":0,"Q_Pesquisadores":5}|{"Nome":Gerenciamento de Resíduos da Indústria do Petróleo,"Q_Estudantes":1,"Q_Pesquisadores":10}|{"Nome":Governo Digital,"Q_Estudantes":0,"Q_Pesquisadores":6}|{"Nome":Impactos Socioeconômicos e Ambientais,"Q_Estudantes":0,"Q_Pesquisadores":7}|{"Nome":Manufatura Aditiva/Impressão 3D/Prototipagem Rápida,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Medicina digital, Modelagem e Estatística Médica, Medicina Geo referenciada, IoT, AI e Big Data Médica,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Produção de Petróleo e Gás Natural em Bacias Maduras e Campos Marginais,"Q_Estudantes":0,"Q_Pesquisadores":10}|{"Nome":Regulação do Setor de Petróleo e Gás Natural,"Q_Estudantes":0,"Q_Pesquisadores":9};{"Nome":Fundação CERTI,"Sigla":CERTI,"UF":SC}|{"Nome":Instituto Interdisciplinar de Pesquisa e Desenvolvime,"Sigla":C3I - P&D,"UF":SP}|{"Nome":Geo Innova,"Sigla":GEO INNOVA,"UF":RJ}|{"Nome":Applied.Bio Pesquisa e Serviços em Biotecnologia Ltda.,"Sigla":Applied.Bio,"UF":RJ}|{"Nome":Deep.Bbl Pesquisa, Desenvolvimento Tecnológico e Serviços Ltda.,"Sigla":Deep.bbl,"UF":RJ}|{"Nome":EcoCasa Comércio de Produtos Ecológicos,"Sigla":EcoCasa,"UF":SP}|{"Nome":SERVINDU SERVICOS INDUSTRIAIS LTDA,"Sigla":SRVINDU,"UF":RN};{"Formação acadêmica":Doutorado,"Pesquisadores":14,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":15}|{"Formação acadêmica":Mestrado,"Pesquisadores":4,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":MBA,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Especialização,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Ensino Médio (2o grau),"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/40361
Grupo de pesquisa de Lavagem de Dinheiro;Certificado - Não-atualizado há mais de 12 meses;2021;Pierpaolo Cruz Bottini ;Universidade de São Paulo - USP;Faculdade de Direito;Ciências Sociais Aplicadas, Direito;SP;Realização de projetos de pesquisa individualizados que buscam o estudo de aspectos específicos sobre o grande tema do crime da lavagem de dinheiro, com a análise da legislação, atos regulatórios e jurisprudência, nacional e internacional, para, ao final de cada projeto, apresentar produtos como artigos, relatórios e eventos.;{"Nome":Blockchain Criptomoedas/Criptoativos e o sistema financeiro e lavagem de dinheiro,"Q_Estudantes":0,"Q_Pesquisadores":7}|{"Nome":Lavagem de Dinheiro,"Q_Estudantes":0,"Q_Pesquisadores":8};;{"Formação acadêmica":Doutorado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Mestrado,"Pesquisadores":5,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Graduação,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/749875
Grupo de Pesquisa em Computação Aplicada - GCA;Certificado;2013;Rafael Zancan Frantz;Universidade Regional do Noroeste do Estado do Rio Grande do Sul - UNIJUI;Departamento de Ciências Exatas e Engenharias;Ciências Exatas e da Terra, Ciência da Computação;RS;Fomentar o desenvolvimento local de pesquisa e tecnologias que possam contribuir com o desenvolvimento social e econômico da região de inserção da UNIJUI, e que possam também ser úteis em outras regiões a nível nacional e internacional.;{"Nome":Data Integration and Analysis,"Q_Estudantes":20,"Q_Pesquisadores":4}|{"Nome":Integration Systems Modeling and Analysis,"Q_Estudantes":5,"Q_Pesquisadores":3}|{"Nome":Software Engineering,"Q_Estudantes":1,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":8,"Técnicos":0,"Estrangeiros":5,"Total":17}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":8,"Técnicos":0,"Estrangeiros":0,"Total":8}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":7,"Técnicos":0,"Estrangeiros":0,"Total":7};http://dgp.cnpq.br/dgp/espelhogrupo/42343
Grupo de Pesquisa em Engenharia de Software e Aplicações;Certificado;2002;Paulo Caetano da Silva;Universidade Salvador - UNIFACS;Pró-Reitoria de Pós-Gradução, Pesquisa e Extensão;Ciências Exatas e da Terra, Ciência da Computação;BA;O Grupo de Engenharia de Software e Aplicações (GESA) objetiva estudar a disciplina de engenharia de software e áreas correlatas. Dentro do universo da engenharia de software, áreas de especial interesse são: (1) qualidade de software, (2) métodos ágeis, (3) engenharia de requisitos, (4) manutenção de software, (5) engenharia de software experimental, (6) serviços Web e (7) visualização de software. Dentro das áreas correlatas, estudam-se disciplinas de outras áreas da computação aplicadas à, ou sobre a perspectiva da, engenharia de software, entre elas: (1) banco de dados, (2) visualização de informação, (3) XML e XBRL e (4) Web Semântica. Além disto, o GESA apóia através de bolsas de IC e da participação docente, os cursos de graduação em Sistemas de Informação, Ciência da Computação e Engenharia de Computação da universidade. O GESA fica lotado no NUPERC-UNIFACS e é um dos grupos de apoio ao Mestrado em Sistemas e Computação da Universidade Salvador.;{"Nome":Arquitetura Orientada a Serviços,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Banco de Dados,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Blockchain,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Desenvolvimento Dirigido por Modelos,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Engenharia de Requisitos,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Engenharia de Software Experimental,"Q_Estudantes":3,"Q_Pesquisadores":3}|{"Nome":Gerenciamento de Projetos,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Gerência de Projetos e Governança de TI,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Internet das Coisas (IoT),"Q_Estudantes":5,"Q_Pesquisadores":2}|{"Nome":Linguagens Específicas de Domínio,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Manutenção de Software,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Manutenção de Software - Dívida Técnica,"Q_Estudantes":4,"Q_Pesquisadores":1}|{"Nome":Modelagem de Software,"Q_Estudantes":5,"Q_Pesquisadores":1}|{"Nome":Processos de Desenvolvimento de Software,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Qualidade de Software,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Serviços Web,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Sistemas de Informações Financeiras,"Q_Estudantes":3,"Q_Pesquisadores":2}|{"Nome":XBRL,"Q_Estudantes":3,"Q_Pesquisadores":2}|{"Nome":XML,"Q_Estudantes":4,"Q_Pesquisadores":2};;{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":1,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":8,"Técnicos":0,"Estrangeiros":0,"Total":8}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":6,"Técnicos":0,"Estrangeiros":0,"Total":6};http://dgp.cnpq.br/dgp/espelhogrupo/22380
